ID,Label
0,8
1,8
2,8
3,8
4,6
5,8
6,8
7,8
8,6
9,1
10,6
11,8
12,8
13,8
14,6
15,8
16,1
17,8
18,8
19,6
20,8
21,6
22,8
23,8
24,8
25,8
26,8
27,8
28,6
29,4
30,8
31,4
32,6
33,6
34,6
35,8
36,8
37,8
38,8
39,6
40,8
41,8
42,4
43,6
44,6
45,8
46,6
47,8
48,8
49,8
50,6
51,4
52,8
53,8
54,4
55,8
56,1
57,8
58,8
59,8
60,8
61,8
62,6
63,4
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,6
73,8
74,8
75,8
76,8
77,1
78,8
79,4
80,6
81,8
82,8
83,6
84,8
85,8
86,1
87,6
88,8
89,6
90,8
91,4
92,8
93,6
94,8
95,1
96,6
97,6
98,8
99,6
100,6
101,6
102,6
103,6
104,8
105,6
106,8
107,6
108,8
109,8
110,8
111,4
112,8
113,8
114,8
115,6
116,1
117,6
118,6
119,6
120,6
121,4
122,1
123,8
124,8
125,8
126,6
127,6
128,8
129,8
130,8
131,8
132,8
133,8
134,8
135,8
136,8
137,6
138,6
139,8
140,8
141,6
142,6
143,6
144,8
145,8
146,6
147,8
148,8
149,6
150,4
151,8
152,8
153,4
154,6
155,8
156,8
157,8
158,6
159,8
160,6
161,6
162,8
163,8
164,6
165,8
166,8
167,8
168,6
169,8
170,8
171,6
172,8
173,6
174,8
175,8
176,4
177,8
178,6
179,8
180,8
181,8
182,4
183,8
184,6
185,6
186,8
187,6
188,1
189,6
190,8
191,6
192,5
193,8
194,6
195,8
196,8
197,6
198,8
199,8
200,6
201,6
202,8
203,8
204,8
205,8
206,8
207,6
208,8
209,8
210,8
211,1
212,8
213,8
214,8
215,8
216,8
217,8
218,6
219,6
220,6
221,8
222,8
223,4
224,8
225,8
226,6
227,1
228,8
229,1
230,4
231,8
232,8
233,6
234,8
235,8
236,1
237,8
238,8
239,6
240,6
241,6
242,8
243,6
244,8
245,6
246,8
247,8
248,1
249,8
250,8
251,8
252,8
253,8
254,8
255,6
256,8
257,6
258,6
259,8
260,8
261,8
262,8
263,8
264,8
265,6
266,4
267,6
268,4
269,6
270,8
271,6
272,6
273,8
274,7
275,8
276,8
277,8
278,4
279,8
280,6
281,8
282,8
283,1
284,8
285,8
286,6
287,6
288,1
289,6
290,8
291,8
292,6
293,8
294,6
295,6
296,8
297,8
298,8
299,8
300,6
301,8
302,8
303,6
304,1
305,8
306,8
307,6
308,6
309,1
310,6
311,8
312,8
313,8
314,8
315,9
316,8
317,6
318,8
319,6
320,8
321,6
322,8
323,8
324,8
325,6
326,6
327,6
328,8
329,1
330,6
331,8
332,8
333,8
334,8
335,8
336,6
337,8
338,1
339,8
340,1
341,6
